,model,title,subtitle,link,price,seller,year,body,mileage,engine,transmission,fuel,BHP,owners,distance
180,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Icon 5dr CVT Bluetooth,https://www.autotrader.co.uk/car-details/202301203438948,18300,4.7 (3121 reviews) Collect from Wakefield (12 miles),2020,Hatchback,16723.0,1.8L,Automatic,Petrol Hybrid,,,12
438,Toyota Corolla,Toyota Corolla,2.0 VVT-i Hybrid Design 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202302164345102,22000,4.6 (2717 reviews) Collect from Wakefield (12 miles),2020,Hatchback,6571.0,2.0L,Automatic,Petrol Hybrid,,,12
2987,Volvo XC40,Volvo XC40,"T5 AWD R-Design Pro (Apple Car Play,Heated seats,Lane depart alert) 2.0 5dr",https://www.autotrader.co.uk/car-details/202304015851062,34890,4.6 (342 reviews) wakefield (12 miles),2020,SUV,16458.0,2.0L,Automatic,Petrol,244.0,,12
3074,Volvo XC40,Volvo XC40,1.5 T3 [163] R DESIGN 5dr Geartronic Satellite Navigation,https://www.autotrader.co.uk/car-details/202304136243978,29750,4.5 (4681 reviews) Collect from Wakefield (12 miles),2020,SUV,14395.0,1.5L,Automatic,Petrol,161.0,,12
3797,Volvo XC40,Volvo XC40,"Recharge Plus, T4 plug-in hybrid, Electric/Petrol, Dark (Tints) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305036956893,38490,4.6 (342 reviews) wakefield (12 miles),2022,SUV,3500.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,12
3795,Volvo XC40,Volvo XC40,"Recharge Plus, T4 plug-in hybrid, Electric/Petrol, Dark (Tints) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305036956898,38390,4.6 (342 reviews) wakefield (12 miles),2022,SUV,3077.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,12
3805,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956890,34190,4.6 (342 reviews) wakefield (12 miles),2022,SUV,5500.0,2.0L,Automatic,Petrol Hybrid,161.0,,12
3072,Volvo XC40,Volvo Xc40,1.5 T3 [163] R DESIGN 5dr,https://www.autotrader.co.uk/car-details/202304045939358,29000,4.7 (1221 reviews) wakefield (12 miles),2020,SUV,20564.0,1.5L,Manual,Petrol,161.0,,12
4249,Vauxhall Astra,Vauxhall Astra,1.2 Turbo Business Edition Nav 5dr Bluetooth,https://www.autotrader.co.uk/car-details/202304156305333,13500,4.6 (5819 reviews) Collect from Wakefield (12 miles),2020,Hatchback,14223.0,1.2L,Manual,Petrol,,,12
3785,Volvo XC40,Volvo XC40,"Recharge Plus, T4 plug-in hybrid, Electric/Petrol, Dark (Tints) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305036956882,38390,4.6 (342 reviews) wakefield (12 miles),2022,SUV,350.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,12
1136,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305087145494,17500,4.7 (2031 reviews) Collect from Wakefield (12 miles),2020,Hatchback,42367.0,1.6L,Automatic,Petrol Hybrid,,,12
3786,Volvo XC40,Volvo XC40,"T5 Recharge R-Design Pro (Sunroof,Climate,Park camera) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305127302670,35490,4.6 (342 reviews) wakefield (12 miles),2022,SUV,12298.0,1.5L,Automatic,Petrol Plug-in Hybrid,177.0,,12
319,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid GR Sport 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202303195405263,23000,4.6 (2649 reviews) Collect from Wakefield (12 miles),2020,Hatchback,10530.0,1.8L,Automatic,Petrol Hybrid,,,12
1776,Honda Civic,Honda Civic,1.0 VTEC Turbo 126 SR 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202304266689539,18000,4.7 (2031 reviews) Collect from Wakefield (12 miles),2021,Hatchback,27649.0,1.0L,Automatic,Petrol,,,12
2500,Kia Niro,KIA E-Niro,150kW 4+ 64kWh 5dr Auto,https://www.autotrader.co.uk/car-details/202304196460152,32080,4.8 (505 reviews) wakefield (12 miles),2022,SUV,5449.0,,Automatic,Electric,,,12
3029,Volvo XC40,Volvo XC40,"B4 (Petrol) Inscription MHEV Auto ( Red Leather, Climate & Versatility ) 2.0 5dr",https://www.autotrader.co.uk/car-details/202305157394010,31490,4.6 (342 reviews) wakefield (12 miles),2020,SUV,19645.0,2.0L,Automatic,Petrol Hybrid,194.0,,12
3031,Volvo XC40,Volvo XC40,1.5 T3 [163] R DESIGN 5dr Satellite Navigation,https://www.autotrader.co.uk/car-details/202304196444064,28750,4.7 (2031 reviews) Collect from Wakefield (12 miles),2020,SUV,5604.0,1.5L,Manual,Petrol,161.0,,12
1662,Honda Civic,Honda Civic,1.6 i-DTEC EX 4dr Leather Seats,https://www.autotrader.co.uk/car-details/202305157402639,16800,4.5 (6720 reviews) wakefield (12 miles),2020,Saloon,33720.0,1.6L,Manual,Diesel,,,12
225,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid GR Sport 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305016870404,22500,4.2 (199 reviews) Collect from Wakefield (12 miles),2020,Hatchback,19216.0,1.8L,Automatic,Petrol Hybrid,,,12
3767,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956885,33990,4.6 (342 reviews) wakefield (12 miles),2022,SUV,1200.0,2.0L,Automatic,Petrol Hybrid,161.0,,12
3766,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark (Tints) 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956877,33950,4.6 (342 reviews) wakefield (12 miles),2022,SUV,1500.0,2.0L,Automatic,Petrol Hybrid,161.0,,12
3014,Volvo XC40,Volvo XC40,2.0 D3 R DESIGN Pro 5dr Satellite Navigation,https://www.autotrader.co.uk/car-details/202305077117497,25500,4.2 (598 reviews) Collect from Wakefield (12 miles),2020,SUV,48991.0,2.0L,Manual,Diesel,148.0,,12
395,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Icon 5dr CVT Bluetooth,https://www.autotrader.co.uk/car-details/202303265631582,19250,4.7 (3121 reviews) Collect from Wakefield (12 miles),2020,Hatchback,19014.0,1.8L,Automatic,Petrol Hybrid,,,12
633,Toyota Corolla,Toyota Corolla,2.0 VVT-i Hybrid GR Sport 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202302043943611,23500,4.5 (4681 reviews) Collect from Wakefield (12 miles),2021,Hatchback,9510.0,2.0L,Automatic,Petrol Hybrid,,,12
215,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Excel 5dr CVT Leather Seats,https://www.autotrader.co.uk/car-details/202302274693851,20500,4.6 (5819 reviews) Collect from Wakefield (12 miles),2020,Hatchback,33608.0,1.8L,Automatic,Petrol Hybrid,,,12
199,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid GR Sport 5dr CVT,https://www.autotrader.co.uk/car-details/202304035900556,23000,4.7 (1221 reviews) wakefield (12 miles),2020,Hatchback,23823.0,1.8L,Automatic,Petrol Hybrid,,,12
3791,Volvo XC40,Volvo XC40,"T3 R-Design (Lane Depart alert,Nav,Cruise,Service Plan 3 year) 1.5 5dr",https://www.autotrader.co.uk/car-details/202305157394009,31830,4.6 (342 reviews) wakefield (12 miles),2022,SUV,7047.0,1.5L,Manual,Petrol,161.0,,12
4260,Vauxhall Astra,Vauxhall Astra,1.2 Turbo 145 SRi VX-Line Nav 5dr Satellite Navigation,https://www.autotrader.co.uk/car-details/202304226552239,13400,4.7 (3121 reviews) Collect from Wakefield (12 miles),2020,Hatchback,37127.0,1.2L,Manual,Petrol,,,12
3780,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956888,33990,4.6 (342 reviews) wakefield (12 miles),2022,SUV,3500.0,2.0L,Automatic,Petrol Hybrid,161.0,,12
4297,Vauxhall Astra,Vauxhall Astra,1.2 Turbo 145 Elite Nav 5dr Leather Seats,https://www.autotrader.co.uk/car-details/202303285717877,15800,4.2 (1477 reviews) Collect from Wakefield (12 miles),2020,Hatchback,18826.0,1.2L,Manual,Petrol,,,12
3054,Volvo XC40,Volvo XC40,1.5 T3 [163] R DESIGN Pro 5dr Satellite Navigation,https://www.autotrader.co.uk/car-details/202301243570948,28500,4.7 (3121 reviews) Collect from Wakefield (12 miles),2020,SUV,7457.0,1.5L,Manual,Petrol,161.0,,12
1144,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid 1st Edition 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202304196444060,17750,4.2 (598 reviews) Collect from Wakefield (12 miles),2020,Hatchback,34910.0,1.6L,Automatic,Petrol Hybrid,,,12
4386,Vauxhall Astra,Vauxhall Astra,1.2 Turbo 145 Griffin Edition 5dr Satellite Navigation,https://www.autotrader.co.uk/car-details/202305067092558,17250,4.6 (1866 reviews) Collect from Wakefield (12 miles),2021,Hatchback,14647.0,1.2L,Manual,Petrol,,,12
3783,Volvo XC40,Volvo XC40,"Plus, B3 mild hybrid, Petrol, Dark (Tints) 2.0 5dr",https://www.autotrader.co.uk/car-details/202305036956887,33990,4.6 (342 reviews) wakefield (12 miles),2022,SUV,1879.0,2.0L,Automatic,Petrol Hybrid,161.0,,12
24,Toyota Prius,Toyota Prius,1.8 VVTi Business Edition Plus 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305057040897,25500,4.6 (2649 reviews) Collect from Wakefield (12 miles),2020,Hatchback,20042.0,1.8L,Automatic,Petrol Hybrid,,,12
2643,Kia Niro,KIA Niro,1.6 GDi PHEV 3 5dr DCT Leather Seats,https://www.autotrader.co.uk/car-details/202304296806521,28000,4.7 (3121 reviews) Collect from Wakefield (12 miles),2022,SUV,10114.0,1.6L,Automatic,Petrol Plug-in Hybrid,,,12
3055,Volvo XC40,Volvo XC40,1.5 T3 [163] Inscription 5dr Leather Seats,https://www.autotrader.co.uk/car-details/202305026929722,27000,4.5 (59 reviews) Collect from Wakefield (12 miles),2020,SUV,32063.0,1.5L,Manual,Petrol,161.0,,12
3792,Volvo XC40,Volvo XC40,"Recharge Plus, T4 plug-in hybrid, Electric/Petrol, Dark 1.5 5dr",https://www.autotrader.co.uk/car-details/202305036956883,38390,4.6 (342 reviews) wakefield (12 miles),2022,SUV,3908.0,1.5L,Automatic,Petrol Plug-in Hybrid,,,12
426,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Icon Tech 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202304045949592,22750,4.2 (598 reviews) Collect from Wakefield (12 miles),2020,Estate,19250.0,1.8L,Automatic,Petrol Hybrid,,,12
102,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Icon 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202301283705720,18300,4.2 (1477 reviews) Collect from Wakefield (12 miles),2020,Hatchback,21695.0,1.8L,Automatic,Petrol Hybrid,,,12
3441,Volvo XC40,Volvo XC40,"B4 (Diesel) AWD R-Design Pro MHEV Auto ( Park Assist, Sat Nav, Cruise ) 2.0 5dr",https://www.autotrader.co.uk/car-details/202302244601179,33690,4.6 (342 reviews) wakefield (12 miles),2021,SUV,21194.0,2.0L,Automatic,Petrol Hybrid,194.0,,12
1945,Kia Niro,KIA Niro,1.6 GDi Hybrid 2 5dr DCT Bluetooth,https://www.autotrader.co.uk/car-details/202304166338048,18250,4.6 (2717 reviews) Collect from Wakefield (12 miles),2020,SUV,35525.0,1.6L,Automatic,Petrol Hybrid,,,12
177,Toyota Corolla,Toyota Corolla,1.8 VVT-i Hybrid Icon Tech 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202301193422484,20000,4.5 (6720 reviews) wakefield (12 miles),2020,Hatchback,14110.0,1.8L,Automatic,Petrol Hybrid,,,12
1098,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305097166401,17250,4.6 (5819 reviews) Collect from Wakefield (12 miles),2020,Hatchback,43166.0,1.6L,Automatic,Petrol Hybrid,,,12
3107,Volvo XC40,Volvo XC40,2.0 T4 Inscription Pro 5dr Geartronic Leather Seats,https://www.autotrader.co.uk/car-details/202305097166371,32250,4.6 (2717 reviews) Collect from Wakefield (12 miles),2020,SUV,13336.0,2.0L,Automatic,Petrol,188.0,,12
1092,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium SE 5dr DCT Leather Seats,https://www.autotrader.co.uk/car-details/202304206471624,21850,4.6 (2649 reviews) Collect from Wakefield (12 miles),2020,Hatchback,14961.0,1.6L,Automatic,Petrol Hybrid,,,12
1191,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305137332067,17250,4.5 (4681 reviews) Collect from Wakefield (12 miles),2020,Hatchback,47031.0,1.6L,Automatic,Petrol Hybrid,,,12
1090,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202304266712672,17250,4.6 (5819 reviews) Collect from Wakefield (12 miles),2020,Hatchback,42825.0,1.6L,Automatic,Petrol Hybrid,,,12
1790,Honda Civic,Honda Civic,1.5 VTEC Sport 5-Door 5dr,https://www.autotrader.co.uk/car-details/202302244582762,22290,4.5 (73 reviews) wakefield (12 miles),2021,Hatchback,11507.0,1.5L,Automatic,Petrol,,,12
699,Toyota Corolla,Toyota Corolla,2.0 VVT-i Hybrid GR Sport 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202212172588139,23300,4.7 (2031 reviews) Collect from Wakefield (12 miles),2021,Hatchback,18636.0,2.0L,Automatic,Petrol Hybrid,,,12
1045,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium 5dr DCT Satellite Navigation,https://www.autotrader.co.uk/car-details/202305036948561,17250,4.5 (6720 reviews) wakefield (12 miles),2020,Hatchback,44059.0,1.6L,Automatic,Petrol Hybrid,,,12
1047,Hyundai Ioniq,Hyundai Ioniq,1.6 GDi Hybrid Premium SE 5dr DCT Leather Seats,https://www.autotrader.co.uk/car-details/202304276753530,20000,4.6 (2649 reviews) Collect from Wakefield (12 miles),2020,Hatchback,20870.0,1.6L,Automatic,Petrol Hybrid,,,12
3277,Volvo XC40,Volvo XC40,1.5 T3 [163] Inscription 5dr Geartronic Leather Seats,https://www.autotrader.co.uk/car-details/202304236586552,29500,4.6 (2649 reviews) Collect from Wakefield (12 miles),2020,SUV,23199.0,1.5L,Automatic,Petrol,161.0,,12
93,Toyota Corolla,Toyota Corolla,2.0 VVT-i Hybrid Design 5dr CVT Satellite Navigation,https://www.autotrader.co.uk/car-details/202301233508676,21300,4.5 (6720 reviews) wakefield (12 miles),2020,Estate,33129.0,2.0L,Automatic,Petrol Hybrid,,,12
